inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationQuality_x,calibrationQuality_y,calibrationPointCount,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Calibrate_X,Calibrate_Y,Duration,TargetSize,participant,session,date,expName,psychopyVersion,OS,frameRate,coordinatePlaneConstructed,coordinatePlane,calibrationClick.clicked_name,coordinatePlaneStatus,coordinatePlaneDimensions,tracking_resp.keys,tracking_resp.rt,finalCalibrationAccuracy_x,finalCalibrationAccuracy_y,trackingTrialSummary
space,19.6687,0.059260385,-0.184780829,1,0,0,-0.54312079,0.202253696,0,0,0,0.98312079,0.422253696,1,0,0,0,37,1,0.44,-0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.545775636,-0.10960306,0,0,0,0.984448213,0.486325318,2,0,1,1,35,1,0.44,-0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.518759356,0.235450973,0,0,0,0.755885261,0.392399888,3,0,2,2,19,1,-0.22,0.44,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.518759356,0.235450973,0,0,0,0.751603785,0.518162659,4,0,3,3,28,1,0.22,-0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.553839586,0.306009076,0,0,0,0.756050945,0.519731942,5,0,4,4,30,1,0.22,-0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,TRUE,"{""initialized"":true,""topLeft"":{""x"":-0.22,""y"":0.44},""topRight"":{""x"":0.44,""y"":0.44},""bottomLeft"":{""x"":-0.22,""y"":-0.66},""bottomRight"":{""x"":0.44,""y"":-0.66},""centerPoint"":{""x"":0.22000000000000003,""y"":-0.264},""width"":0.66,""height"":1.1}",,,,,,,,
,,,,,,,-0.556482738,-0.125432728,0,0,0,0.649456244,0.490682073,6,0,5,5,11,1,-0.44,0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.556482738,-0.125432728,0,0,0,0.573317171,0.496951387,7,0,6,6,7,1,-0.44,-0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.22192529,-0.160401853,1,0,0,0.501893186,0.442282232,8,0,7,7,16,1,-0.22,-0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.481538875,-0.174699429,0,0,0,0.548520485,0.485884143,9,0,8,8,13,1,-0.44,0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.069166355,-0.157454622,0,0,0,0.552751801,0.487550267,10,0,9,9,42,1,0.66,-0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.118374579,-0.158033542,0,0,0,0.511740312,0.517594201,11,0,10,10,34,1,0.22,0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.660214727,0.210107129,1,0,0,0.46911318,0.475285757,12,0,11,11,46,1,0.66,0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,calibration_square,,,,,,,
,,,,,,,-0.011303565,-0.218299729,1,0,0,0.433897056,0.438856104,13,0,12,12,23,1,0,-0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.428471183,0.43775145,1,0,0,0.403727896,0.40766985,14,0,13,13,36,1,0.44,0.44,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.122549822,-0.065301039,0,0,0,0.414316024,0.428845263,15,0,14,14,41,1,0.44,0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.218510245,-0.434318862,1,0,0,0.388514382,0.402397505,16,0,15,15,29,1,0.22,-0.44,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,calibration_square,,,,,,,
,,,,,,,-0.654723756,0.215101048,1,0,0,0.365970962,0.379015237,17,0,16,16,4,1,-0.66,0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,calibration_square,,,,,,,
,,,,,,,-0.652916823,0.440336125,1,0,0,0.346032752,0.357977509,18,0,17,17,5,1,-0.66,0.44,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,calibration_square,,,,,,,
,,,,,,,0.075540326,-0.330727217,0,0,0,0.358581538,0.391280125,19,0,18,18,48,1,0.66,0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.654484001,-0.241988679,1,0,0,0.340928261,0.372815552,20,0,19,19,44,1,0.66,-0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.207294396,-0.451288829,1,0,0,0.32529861,0.355599994,21,0,20,20,15,1,-0.22,-0.44,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.659267403,-0.451090007,1,0,0,0.31054561,0.339940449,22,0,21,21,1,1,-0.66,-0.44,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.449031624,0.42628415,1,0,0,0.297436306,0.325756771,23,0,22,22,40,1,0.44,0.44,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.182681512,-0.269168694,0,0,0,0.320154856,0.32846821,24,0,23,23,0,1,-0.66,-0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,-0.439593469,-0.303365924,0,0,0,0.324932401,0.353864119,25,0,24,24,27,1,0,0.66,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
,,,,,,,0.229340148,0.208025356,1,0,0,0.312794237,0.340714523,26,0,25,25,32,1,0.22,0.22,1.5,0.05,1111,001,2025-03-11_11h04.59.876,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,,
